0: [72.70674855280225,20.072745925829775]
1: [72.70697594959526,20.060577084862725]
2: [72.71328560979798,20.036457813257687]
3: [72.71304477909949,20.030491503013693]
4: [72.7093883634249,20.01923224018618]
5: [72.71376267037523,20.010042045308662]
6: [72.7203309328177,20.002912010498658]
7: [72.72353260629528,19.995920059892185]
8: [72.724281674902,19.988580440704727]
9: [72.72239551496224,19.976875279859687]
10: [72.72605643090593,19.972755068273358]
11: [72.74408901175731,19.965482230732174]
12: [72.7409587607941,19.95743360806274]
13: [72.74098996609463,19.95099461292576]
14: [72.74564528415311,19.94596475689065]
15: [72.75196830722619,19.943476639238742]
16: [72.7512592737476,19.936565014717143]
17: [72.75517435423403,19.9301661609598]
18: [72.80459011082368,19.917377519242354]
19: [72.83802003571749,19.89822569967472]
20: [72.85423327904081,19.891403238831774]
21: [72.87142761522934,19.879987938782538]
22: [72.8901290321204,19.862160475072187]
23: [72.90392109151158,19.84249138182476]
24: [72.92015667355429,19.823740799885375]
25: [72.95702447735881,19.792197184658306]
26: [72.98209360391901,19.76566553877288]
27: [72.99093593458947,19.75330490101451]
28: [72.99683532194895,19.748734273224706]
29: [73.0046923226437,19.742794772451923]
30: [73.03558937924481,19.726349576828408]
31: [73.05079493304359,19.71399791790986]
32: [73.09884616652137,19.69069018043635]
33: [73.10620821695376,19.685192137158836]
34: [73.14302247948754,19.638483005154765]
35: [73.14550621002157,19.615563245123994]
36: [73.15239552553687,19.590364837178925]
37: [73.15194518159946,19.56973705977576]
38: [73.14853840251662,19.562406318707524]
39: [73.14173828670735,19.533060984727907]
40: [73.12467331274706,19.502792603062417]
41: [73.10369326125827,19.477103693687884]
42: [73.08663274542862,19.45095555527112]
43: [73.08419808878278,19.44499374501636]
44: [73.08225837832126,19.436285042145162]
45: [73.08133534851461,19.41244676840304]
46: [73.0687115614603,19.3775855011282]
47: [73.06006537446125,19.309263107469434]
48: [73.07039713263535,19.273064129876367]
49: [73.07589967362468,19.22034862322728]
50: [73.09161356168863,19.175891421359676]
51: [73.10587376761791,19.117214072158536]
52: [73.11081445498984,19.08191590260902]
53: [73.11134502369302,19.064485261742462]
54: [73.10800076342633,19.028259499756945]
55: [73.10756825186351,19.00166098322023]
56: [73.113547879214,18.931042208221662]
57: [73.1121610453248,18.893425161250484]
58: [73.10881229447496,18.86269756350941]
59: [73.10591834288066,18.847558905770406]
60: [73.0986633572302,18.82553091063512]
61: [73.06909956365116,18.766782279179118]
62: [73.04606607625405,18.734411415665463]
63: [73.02303255745731,18.702040557566434]
64: [73.00460754761292,18.68044964451906]
65: [72.99347760846462,18.66254190191447]
66: [72.9833912062306,18.616180623403206]
67: [72.97815615438145,18.577176790579976]
68: [72.9782007541299,18.562956758312406]
69: [72.98068445125394,18.54368453737225]
70: [72.99246097824907,18.501042111130364]
71: [73.00174040379638,18.483620457826568]
72: [73.01590695097153,18.44831328691969]
73: [73.02570360169577,18.417126365637046]
74: [73.05299323317699,18.371277837639774]
75: [73.07591309297808,18.322660231156025]
76: [73.07592642226795,18.315762015691135]
77: [73.07346499373264,18.307405648089688]
78: [73.08125951743054,18.307294238210194]
79: [73.08518351812428,18.29560247457651]
80: [73.09500245798287,18.239159131284996]
81: [73.10574886678499,18.19465286164381]
82: [73.11067172711638,18.157468438705823]
83: [73.11514865742198,18.096882614690553]
84: [73.12201124684218,18.05740619933664]
85: [73.1390673261876,17.99178160058989]
86: [73.1439589461433,17.964233300203997]
87: [73.15028190838397,17.942200838369963]
88: [73.16291902192042,17.908235877457642]
89: [73.17265323491105,17.874716836508775]
90: [73.18575404974307,17.84212965506854]
91: [73.20028631396228,17.81182122859527]
92: [73.21629889114747,17.770503137786623]
93: [73.23832913030412,17.728716902981237]
94: [73.26035926161552,17.686930681402337]
95: [73.29276359284259,17.637782508922893]
96: [73.30145880954257,17.61848345770195]
97: [73.31065354999409,17.589084669473344]
98: [73.33214191936494,17.551866734230696]
99: [73.35363033428803,17.514648879083563]
100: [73.36521951362676,17.48387218226083]
101: [73.37100739530413,17.463650151485094]
102: [73.3768087035817,17.388746105889567]
103: [73.38452294351347,17.33544205616731]
104: [73.38452294351347,17.324869511181664]
105: [73.3912740603448,17.268805255777263]
106: [73.3951266845929,17.250415881903]
107: [73.40041968125934,17.228807143238903]
108: [73.41052848919212,17.19846737304993]
109: [73.42591678116682,17.13686044252438]
110: [73.44370863016356,17.092256044323854]
111: [73.45812938039477,17.063735654972106]
112: [73.46005123421126,17.046269342322812]
113: [73.46099210551085,16.99753133122747]
114: [73.46385038675531,16.951553602818553]
115: [73.46624940014755,16.929476582959545]
116: [73.47870811861893,16.87427736608917]
117: [73.48396092908541,16.820010138388703]
118: [73.48921819385274,16.78689680473946]
119: [73.49538961833383,16.678790347154088]
120: [73.4992065648923,16.64612295254349]
121: [73.49918427215432,16.616224735923314]
122: [73.50634119871451,16.567910348210425]
123: [73.52258792170628,16.51220727338491]
124: [73.53883464659395,16.456504219592524]
125: [73.54791334294836,16.43624651004389]
126: [73.55267563868414,16.410927697327182]
127: [73.55792399558068,16.396649652470742]
128: [73.58801407687926,16.33170287996363]
129: [73.5980068964395,16.301305180562384]
130: [73.60564981941349,16.286554426061407]
131: [73.6176536518871,16.27174581665468]
132: [73.62172484719245,16.240010376838455]
133: [73.62227779478091,16.215168731841977]
134: [73.62727195371038,16.18213123164996]
135: [73.62756185052939,16.16879402204571]
136: [73.63192732201301,16.142654795988356]
137: [73.63616792562748,16.100395916761066]
138: [73.6453625462605,16.07022114848522]
139: [73.65377691066406,16.03127089198529]
140: [73.66342190219426,16.02318212782343]
141: [73.67491751197747,16.016975051944986]
142: [73.71174516550266,15.999294746235329]
143: [73.76669464684689,15.975523252373483]
144: [73.8260720823298,15.942628414273031]
145: [73.87626819382832,15.895281686096201]
146: [73.87510878345323,15.883300138495333]
147: [73.88291228511564,15.872411035662303]
148: [73.90178765910758,15.851604855408974]
149: [73.91937432220382,15.82526494667906]
150: [73.93005387998224,15.812123969594923]
151: [73.94278906967811,15.791206294729752]
152: [73.95451201923933,15.750030966772753]
153: [73.95881508396594,15.724810320887984]
154: [73.96235556281307,15.71338160556058]
155: [73.97872045264076,15.6768927795199]
156: [73.99772520725259,15.626197279434392]
157: [74.01043808039609,15.582288469692937]
158: [74.02127818488461,15.537884771253527]
159: [74.02346757743217,15.52321436786286]
160: [74.03616259977927,15.480219693896302]
161: [74.05606807771113,15.430469469125736]
162: [74.0793222681503,15.37802599785708]
163: [74.09834923481067,15.324579192064673]
164: [74.10604123073949,15.270931747370183]
165: [74.10687949776052,15.229114359104672]
166: [74.094438636103,15.167288859454844]
167: [74.07189341758846,15.092862003817835]
168: [74.07167937545668,15.079993041586285]
169: [74.0724195586492,15.066673742171538]
170: [74.0874869172816,14.998008046012007]
171: [74.10549268986077,14.946862135332937]
172: [74.11279224776696,14.935504830699303]
173: [74.13886464026679,14.904723606591459]
174: [74.14846059434103,14.896175532617933]
175: [74.17688742979396,14.864975247012227]
176: [74.18704074197592,14.851825307902581]
177: [74.21396477942059,14.80083992262434]
178: [74.22075603116434,14.790860481018225]
179: [74.26625667615855,14.75306512819099]
180: [74.30303978616935,14.727064148104176]
